CountryName,CountryCode,RegionName,RegionCode,Jurisdiction,Date,C1_School closing,C1_Flag,C1_Notes,C2_Workplace closing,C2_Flag,C2_Notes,C3_Cancel public events,C3_Flag,C3_Notes,C4_Restrictions on gatherings,C4_Flag,C4_Notes,C5_Close public transport,C5_Flag,C5_Notes,C6_Stay at home requirements,C6_Flag,C6_Notes,C7_Restrictions on internal movement,C7_Flag,C7_Notes,C8_International travel controls,C8_Notes,E1_Income support,E1_Flag,E1_Notes,E2_Debt/contract relief,E2_Notes,E3_Fiscal measures,E3_Notes,E4_International support,E4_Notes,H1_Public information campaigns,H1_Flag,H1_Notes,H2_Testing policy,H2_Notes,H3_Contact tracing,H3_Notes,H4_Emergency investment in healthcare,H4_Notes,H5_Investment in vaccines,H5_Notes,H6_Facial Coverings,H6_Flag,H6_Notes,H7_Vaccination policy,H7_Flag,H7_Notes,H8_Protection of elderly people,H8_Flag,H8_Notes,M1_Wildcard,M1_Notes,V1_Vaccine Prioritisation (summary),V1_Notes,V2A_Vaccine Availability (summary),V2_Notes,V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),V3_Notes,V4_Mandatory Vaccination (summary),V4_Notes,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay
India,IND,Gujarat,IND_GJ,STATE_TOTAL,20211214,1.00,1,,1.00,1,,1.00,1,,3.00,1,,1.00,1,,2.00,0,,1.00,1,,2.00,,,,,,,,,,,2.00,1,,3.00,,1.00,,,,,,4.00,1,,5.00,1,,2.00,0,,,,,,,,,,,,,,,,,,828084,10097,54.63,54.63,66.19,66.19,55.73,55.73,63.69,63.69,,
India,IND,Gujarat,IND_GJ,STATE_TOTAL,20211215,1.00,1,,1.00,1,,1.00,1,,3.00,1,,1.00,1,,2.00,0,,1.00,1,,2.00,,,,,,,,,,,2.00,1,,3.00,,1.00,,,,,,4.00,1,,5.00,1,,2.00,0,,,,,,,,,,,,,,,,,,828137,10097,54.63,54.63,66.19,66.19,55.73,55.73,63.69,63.69,,
India,IND,Gujarat,IND_GJ,STATE_TOTAL,20211216,1.00,1,,1.00,1,,1.00,1,,3.00,1,,1.00,1,,2.00,0,,1.00,1,,2.00,,,,,,,,,,,2.00,1,,3.00,,1.00,,,,,,4.00,1,,5.00,1,,2.00,0,,,,,,,,,,,,,,,,,,828205,10097,54.63,54.63,66.19,66.19,55.73,55.73,63.69,63.69,,
India,IND,Gujarat,IND_GJ,STATE_TOTAL,20211217,1.00,1,,1.00,1,,1.00,1,,3.00,1,,1.00,1,,2.00,0,,1.00,1,,2.00,,,,,,,,,,,2.00,1,,3.00,,1.00,,,,,,4.00,1,,5.00,1,,2.00,0,,,,,,,,,,,,,,,,,,828265,10098,54.63,54.63,66.19,66.19,55.73,55.73,63.69,63.69,,
India,IND,Gujarat,IND_GJ,STATE_TOTAL,20211218,1.00,1,,1.00,1,,1.00,1,,3.00,1,,1.00,1,,2.00,0,,1.00,1,,2.00,,,,,,,,,,,2.00,1,,3.00,,1.00,,,,,,4.00,1,,5.00,1,,2.00,0,,,,,,,,,,,,,,,,,,828333,10098,54.63,54.63,66.19,66.19,55.73,55.73,63.69,63.69,,
India,IND,Gujarat,IND_GJ,STATE_TOTAL,20211219,1.00,1,,1.00,1,,1.00,1,,3.00,1,,1.00,1,,2.00,0,,1.00,1,,2.00,,,,,,,,,,,2.00,1,,3.00,,1.00,,,,,,4.00,1,,5.00,1,,2.00,0,,,,,,,,,,,,,,,,,,828384,10098,54.63,54.63,66.19,66.19,55.73,55.73,63.69,63.69,,
India,IND,Gujarat,IND_GJ,STATE_TOTAL,20211220,1.00,1,,1.00,1,,1.00,1,,3.00,1,,1.00,1,,2.00,0,,1.00,1,,2.00,,,,,,,,,,,2.00,1,,3.00,,1.00,,,,,,4.00,1,,5.00,1,,2.00,0,,,,,,,,,,,,,,,,,,828454,10099,54.63,54.63,66.19,66.19,55.73,55.73,63.69,63.69,,
India,IND,Gujarat,IND_GJ,STATE_TOTAL,20211221,1.00,1,,2.00,0,"""The notification said all shops and establishments can remain open till midnight. Restaurants can stay open until midnight with 75% capacity and cinema halls can operate at 100% capacity. Other guidelines in force will remain as earlier. Gyms will continue to function at 75% capacity and gardens and parks will remain open till 10 pm""  https://web.archive.org/web/20220208122747/https://www.india.com/news/india/omicron-gujarat-ahmedabad-surat-rajkot-vadodara-gandhinagar-bhavnagar-jamnagar-and-junagadh-govt-extends-night-curfew-in-8-major-cities-till-december-31-details-here-5147402/",1.00,1,"No particular rules  https://web.archive.org/web/20220208122747/https://www.india.com/news/india/omicron-gujarat-ahmedabad-surat-rajkot-vadodara-gandhinagar-bhavnagar-jamnagar-and-junagadh-govt-extends-night-curfew-in-8-major-cities-till-december-31-details-here-5147402/",3.00,1,"Up to 400 people still allowed at weddings. Only 100 at funerals.   https://web.archive.org/web/20220208123140/https://www.business-standard.com/article/current-affairs/gujarat-extends-night-curfew-in-8-districts-till-december-31-amid-omicron-121122100087_1.html",1.00,1,"No specific measures  https://web.archive.org/web/20220208122747/https://www.india.com/news/india/omicron-gujarat-ahmedabad-surat-rajkot-vadodara-gandhinagar-bhavnagar-jamnagar-and-junagadh-govt-extends-night-curfew-in-8-major-cities-till-december-31-details-here-5147402/",2.00,0,"https://web.archive.org/web/20220208122747/https://www.india.com/news/india/omicron-gujarat-ahmedabad-surat-rajkot-vadodara-gandhinagar-bhavnagar-jamnagar-and-junagadh-govt-extends-night-curfew-in-8-major-cities-till-december-31-details-here-5147402/",2.00,0,"""— Mandatory health screening for all passengers and verification of vaccination status.    PROMOTED CONTENT  By   — All passengers arriving to Surat from other states are required to carry a negative RT-PCR test report not older than 72 hours prior to undertaking the journey.    — Passengers not carrying a negative test report are to be tested at the airport by health officials.""  https://web.archive.org/web/20220208132654/https://www.news18.com/news/auto/covid-19-omicron-gujarat-travel-guidelines-for-international-and-domestic-passengers-4528496.html",2.00,"https://web.archive.org/web/20220208132654/https://www.news18.com/news/auto/covid-19-omicron-gujarat-travel-guidelines-for-international-and-domestic-passengers-4528496.html  ""International Passengers:    — Thermal Screening upon arrival is a must. The self-declaration form should be duly filled and shown by the passengers.    — For flyers travelling from high-risk countries, a test on arrival is mandatory. Travellers will be required to wait at the airport for the test results. All European countries are a part of ‘at-risk’ nations.    RELATED NEWS    ‘Can’t Deliver Presentations Since She’s Filipina’: Top WHO Official Accused Of Racism      Vaccine Mandates: Police, Protesters Clash In Belgium, Hundreds March In Washington    — If passengers test negative, they will remain in home quarantine for 7 days and take a test again on Day 8.    — If passengers test positive, they will be required to remain in a separate isolation facility as per SOP.    — For travellers arriving to any city of the state from non-risk countries, 2% of the total flight passengers shall undergo testing at random at the airport on arrival.    — Passengers, before boarding, should upload a negative RT-PCR report conducted within 72 hrs prior to the journey.    — As per MoHFW guidelines for International flights, if travellers test positive on retesting, they must immediately self isolate and report to a medical facility.    — If tested positive, they shall be managed as per laid down protocol. Their immediate contacts will be identified and tested as well.""",,,,,,,,,,2.00,1,,3.00,,1.00,,,,,,4.00,1,,5.00,1,,2.00,0,,,,,,,,,,,,,,,,,,828541,10101,59.26,59.26,66.19,66.19,58.33,58.33,66.67,66.67,,
India,IND,Gujarat,IND_GJ,STATE_TOTAL,20211222,1.00,1,,2.00,0,,1.00,1,,3.00,1,,1.00,1,,2.00,0,,2.00,0,,2.00,,,,,,,,,,,2.00,1,,3.00,,1.00,,,,,,4.00,1,,5.00,1,,2.00,0,,,,,,,,,,,,,,,,,,828632,10103,59.26,59.26,66.19,66.19,58.33,58.33,66.67,66.67,,
India,IND,Gujarat,IND_GJ,STATE_TOTAL,20211223,1.00,1,,2.00,0,,1.00,1,,3.00,1,,1.00,1,,2.00,0,,2.00,0,,2.00,,,,,,,,,,,2.00,1,,3.00,,1.00,,,,,,4.00,1,,5.00,1,,2.00,0,,,,,,,,,,,,,,,,,,828743,10105,59.26,59.26,66.19,66.19,58.33,58.33,66.67,66.67,,
India,IND,Gujarat,IND_GJ,STATE_TOTAL,20211224,1.00,1,,2.00,0,,1.00,1,,3.00,1,,1.00,1,,2.00,0,,2.00,0,,2.00,,,,,,,,,,,2.00,1,,3.00,,1.00,,,,,,4.00,1,,5.00,1,,2.00,0,,,,,,,,,,,,,,,,,,828841,10108,59.26,59.26,66.19,66.19,58.33,58.33,66.67,66.67,,
India,IND,Gujarat,IND_GJ,STATE_TOTAL,20211225,1.00,1,,2.00,0,,1.00,1,,3.00,1,,1.00,1,,2.00,0,,2.00,0,,2.00,,,,,,,,,,,2.00,1,,3.00,,1.00,,,,,,4.00,1,,5.00,1,,2.00,0,,,,,,,,,,,,,,,,,,829020,10110,59.26,59.26,66.19,66.19,58.33,58.33,66.67,66.67,,
India,IND,Gujarat,IND_GJ,STATE_TOTAL,20211226,1.00,1,,2.00,0,,1.00,1,,3.00,1,,1.00,1,,2.00,0,,2.00,0,,2.00,,,,,,,,,,,2.00,1,,3.00,,1.00,,,,,,4.00,1,,5.00,1,,2.00,0,,,,,,,,,,,,,,,,,,829197,10110,59.26,59.26,66.19,66.19,58.33,58.33,66.67,66.67,,
India,IND,Gujarat,IND_GJ,STATE_TOTAL,20211227,1.00,1,,2.00,0,,1.00,1,,3.00,1,,1.00,1,,2.00,0,,2.00,0,,2.00,,,,,,,,,,,2.00,1,,3.00,,1.00,,,,,,4.00,1,,5.00,1,,2.00,0,,,,,,,,,,,,,,,,,,829401,10111,59.26,59.26,66.19,66.19,58.33,58.33,66.67,66.67,,
India,IND,Gujarat,IND_GJ,STATE_TOTAL,20211228,1.00,1,,2.00,0,,1.00,1,,3.00,1,,1.00,1,,2.00,0,,2.00,0,,2.00,,,,,,,,,,,2.00,1,,3.00,,1.00,,,,,,4.00,1,,5.00,1,,2.00,0,,,,,,,,,,,,,,,,,,829795,10112,59.26,59.26,66.19,66.19,58.33,58.33,66.67,66.67,,
India,IND,Gujarat,IND_GJ,STATE_TOTAL,20211229,1.00,1,,2.00,0,,1.00,1,,3.00,1,,1.00,1,,2.00,0,,2.00,0,,2.00,,,,,,,,,,,2.00,1,,3.00,,1.00,,,,,,4.00,1,,5.00,1,,2.00,0,,,,,,,,,,,,,,,,,,830343,10113,59.26,59.26,66.19,66.19,58.33,58.33,66.67,66.67,,
India,IND,Gujarat,IND_GJ,STATE_TOTAL,20211230,1.00,1,,2.00,0,,1.00,1,,3.00,1,,1.00,1,,2.00,0,,2.00,0,,2.00,,,,,,,,,,,2.00,1,,3.00,,1.00,,,,,,4.00,1,,5.00,1,,2.00,0,,,,,,,,,,,,,,,,,,830916,10115,59.26,59.26,66.19,66.19,58.33,58.33,66.67,66.67,,
India,IND,Gujarat,IND_GJ,STATE_TOTAL,20211231,1.00,1,,2.00,0,,1.00,1,,3.00,1,,1.00,1,,2.00,0,,2.00,0,,2.00,,,,,,,,,,,2.00,1,,3.00,,1.00,,,,,,4.00,1,,5.00,1,,2.00,0,,,,,,,,,,,,,,,,,,831570,10115,59.26,59.26,66.19,66.19,58.33,58.33,66.67,66.67,,
