CountryName,CountryCode,RegionName,RegionCode,Jurisdiction,Date,C1E_School closing,C1E_Flag,C1NV_School closing,C1NV_Flag,C1V_School closing,C1V_Flag,C1M_School closing,C1M_Flag,C1_Notes,C2E_Workplace closing,C2E_Flag,C2NV_Workplace closing,C2NV_Flag,C2V_Workplace closing,C2V_Flag,C2M_Workplace closing,C2M_Flag,C2_Notes,C3E_Cancel public events,C3E_Flag,C3NV_Cancel public events,C3NV_Flag,C3V_Cancel public events,C3V_Flag,C3M_Cancel public events,C3M_Flag,C3_Notes,C4E_Restrictions on gatherings,C4E_Flag,C4NV_Restrictions on gatherings,C4NV_Flag,C4V_Restrictions on gatherings,C4V_Flag,C4M_Restrictions on gatherings,C4M_Flag,C4_Notes,C5E_Close public transport,C5E_Flag,C5NV_Close public transport,C5NV_Flag,C5V_Close public transport,C5V_Flag,C5M_Close public transport,C5M_Flag,C5_Notes,C6E_Stay at home requirements,C6E_Flag,C6NV_Stay at home requirements,C6NV_Flag,C6V_Stay at home requirements,C6V_Flag,C6M_Stay at home requirements,C6M_Flag,C6_Notes,C7E_Restrictions on internal movement,C7E_Flag,C7NV_Restrictions on internal movement,C7NV_Flag,C7V_Restrictions on internal movement,C7V_Flag,C7M_Restrictions on internal movement,C7M_Flag,C7_Notes,C8E_International travel controls,C8NV_International travel controls,C8V_International travel controls,C8EV_International travel controls,C8_Notes,E1_Income support,E1_Flag,E1_Notes,E2_Debt/contract relief,E2_Notes,E3_Fiscal measures,E3_Notes,E4_International support,E4_Notes,H1_Public information campaigns,H1_Flag,H1_Notes,H2_Testing policy,H2_Notes,H3_Contact tracing,H3_Notes,H4_Emergency investment in healthcare,H4_Notes,H5_Investment in vaccines,H5_Notes,H6E_Facial Coverings,H6E_Flag,H6NV_Facial Coverings,H6NV_Flag,H6V_Facial Coverings,H6V_Flag,H6M_Facial Coverings,H6M_Flag,H6_Notes,H7_Vaccination policy,H7_Flag,H7_Notes,H8E_Protection of elderly people,H8E_Flag,H8NV_Protection of elderly people,H8NV_Flag,H8V_Protection of elderly people,H8V_Flag,H8M_Protection of elderly people,H8M_Flag,H8_Notes,M1_Notes,V1_Vaccine Prioritisation (summary),V1_Notes,V2A_Vaccine Availability (summary),V2_Notes,V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),V3_Notes,V4_Mandatory Vaccination (summary),V4_Notes,ConfirmedCases,ConfirmedDeaths,MajorityVaccinated,PopulationVaccinated,StringencyIndex_NonVaccinated,StringencyIndex_Vaccinated,StringencyIndex_SimpleAverage,StringencyIndex_WeightedAverage,GovernmentResponseIndex_NonVaccinated,GovernmentResponseIndex_Vaccinated,GovernmentResponseIndex_SimpleAverage,GovernmentResponseIndex_WeightedAverage,ContainmentHealthIndex_NonVaccinated,ContainmentHealthIndex_Vaccinated,ContainmentHealthIndex_SimpleAverage,ContainmentHealthIndex_WeightedAverage,EconomicSupportIndex
United Kingdom,GBR,,,NAT_TOTAL,20210111,3.00,1,,,,,3.00,1,,3.00,1,,,,,3.00,1,,2.00,1,,,,,2.00,1,,4.00,1,,,,,4.00,1,,1.00,1,,,,,1.00,1,,2.00,1,,,,,2.00,1,,2.00,1,,,,,2.00,1,,3.00,,,3.00,,2.00,1,,2.00,,0.00,,0.00,,2.00,1,,2.00,,1.00,,0.00,,0.00,,3.00,1,,,,,3.00,1,,3.00,1,,3.00,1,,,,,3.00,1,,,1,,1,,80+ yrs,80+ yrs,0,0,0,2,5,,,,3118518,105949,NV,0.61,87.96,87.96,87.96,87.96,83.96,83.96,83.96,83.96,81.67,81.67,81.67,81.67,100.00
United Kingdom,GBR,,,NAT_TOTAL,20210112,3.00,1,,,,,3.00,1,,3.00,1,,,,,3.00,1,,2.00,1,,,,,2.00,1,,4.00,1,,,,,4.00,1,,1.00,1,,,,,1.00,1,,2.00,1,,,,,2.00,1,,2.00,1,,,,,2.00,1,,3.00,,,3.00,,2.00,1,,2.00,,0.00,,0.00,,2.00,1,,2.00,,1.00,,0.00,,0.00,,3.00,1,,,,,3.00,1,,3.00,1,,3.00,1,,,,,3.00,1,,,1,,1,,80+ yrs,80+ yrs,0,0,0,2,5,,,,3164051,107269,NV,0.63,87.96,87.96,87.96,87.96,83.96,83.96,83.96,83.96,81.67,81.67,81.67,81.67,100.00
United Kingdom,GBR,,,NAT_TOTAL,20210113,3.00,1,,,,,3.00,1,,3.00,1,,,,,3.00,1,,2.00,1,,,,,2.00,1,,4.00,1,,,,,4.00,1,,1.00,1,,,,,1.00,1,,2.00,1,,,,,2.00,1,,2.00,1,,,,,2.00,1,,3.00,,,3.00,,2.00,1,,2.00,,0.00,,0.00,,2.00,1,,2.00,,1.00,,0.00,,0.00,"The UK has so far secured access to 367 million doses from 7 vaccine developers across 4 different formats (viral vectored vaccines, recombinant protein-based adjuvanted vaccines, whole inactivated viral vaccines and mRNA vaccines), with an expected cost of £2.9bn across the five final contracts signed to date. As announced in the Spending Review, the government has now made available more than £6bn in total to develop and procure COVID-19 vaccines.    Not coded amount as not clear that this is new spending and if so exactly how much,    https://web.archive.org/web/20210129112143/https://www.gov.uk/government/publications/uk-covid-19-vaccines-delivery-plan/uk-covid-19-vaccines-delivery-plan",3.00,1,,,,,3.00,1,,3.00,1,,3.00,1,,,,,3.00,1,,,1,,1,,80+ yrs,80+ yrs,0,0,0,2,5,,,,3211576,108578,NV,0.65,87.96,87.96,87.96,87.96,83.96,83.96,83.96,83.96,81.67,81.67,81.67,81.67,100.00
United Kingdom,GBR,,,NAT_TOTAL,20210114,3.00,1,,,,,3.00,1,,3.00,1,,,,,3.00,1,,2.00,1,,,,,2.00,1,,4.00,1,,,,,4.00,1,,1.00,1,,,,,1.00,1,,2.00,1,,,,,2.00,1,,2.00,1,,,,,2.00,1,,3.00,,,3.00,,2.00,1,,2.00,,0.00,,0.00,,2.00,1,,2.00,,1.00,,0.00,,0.00,,3.00,1,,,,,3.00,1,,3.00,1,,3.00,1,,,,,3.00,1,,,1,,1,,80+ yrs,80+ yrs,0,0,0,2,5,,,,3260258,109919,NV,0.66,87.96,87.96,87.96,87.96,83.96,83.96,83.96,83.96,81.67,81.67,81.67,81.67,100.00
United Kingdom,GBR,,,NAT_TOTAL,20210115,3.00,1,,,,,3.00,1,,3.00,1,,,,,3.00,1,,2.00,1,,,,,2.00,1,,4.00,1,,,,,4.00,1,,1.00,1,,,,,1.00,1,,2.00,1,,,,,2.00,1,,2.00,1,,,,,2.00,1,,3.00,,,3.00,,2.00,1,,2.00,,0.00,,0.00,,2.00,1,,2.00,,1.00,,0.00,,0.00,,3.00,1,,,,,3.00,1,,3.00,1,,3.00,1,,,,,3.00,1,,,1,,1,,80+ yrs,80+ yrs,0,0,0,2,5,,,,3316019,111243,NV,0.66,87.96,87.96,87.96,87.96,83.96,83.96,83.96,83.96,81.67,81.67,81.67,81.67,100.00
United Kingdom,GBR,,,NAT_TOTAL,20210116,3.00,1,,,,,3.00,1,,3.00,1,,,,,3.00,1,,2.00,1,,,,,2.00,1,,4.00,1,,,,,4.00,1,,1.00,1,,,,,1.00,1,,2.00,1,,,,,2.00,1,,2.00,1,,,,,2.00,1,,3.00,,,3.00,,2.00,1,,2.00,,0.00,,0.00,,2.00,1,,2.00,,1.00,,0.00,,0.00,,3.00,1,,,,,3.00,1,,3.00,1,,3.00,1,,,,,3.00,1,,,1,,1,,80+ yrs,80+ yrs,0,0,0,2,5,,,,3357361,112662,NV,0.67,87.96,87.96,87.96,87.96,83.96,83.96,83.96,83.96,81.67,81.67,81.67,81.67,100.00
United Kingdom,GBR,,,NAT_TOTAL,20210117,3.00,1,,,,,3.00,1,,3.00,1,,,,,3.00,1,,2.00,1,,,,,2.00,1,,4.00,1,,,,,4.00,1,,1.00,1,,,,,1.00,1,,2.00,1,,,,,2.00,1,,2.00,1,,,,,2.00,1,,3.00,,,3.00,,2.00,1,,2.00,,0.00,,0.00,,2.00,1,,2.00,,1.00,,0.00,,0.00,,3.00,1,,,,,3.00,1,,3.00,1,,3.00,1,,,,,3.00,1,,,1,,1,,80+ yrs,80+ yrs,0,0,0,2,5,,,,3395959,114023,NV,0.67,87.96,87.96,87.96,87.96,83.96,83.96,83.96,83.96,81.67,81.67,81.67,81.67,100.00
United Kingdom,GBR,,,NAT_TOTAL,20210118,3.00,1,,,,,3.00,1,,3.00,1,,,,,3.00,1,,2.00,1,,,,,2.00,1,,4.00,1,,,,,4.00,1,,1.00,1,,,,,1.00,1,,2.00,1,,,,,2.00,1,,2.00,1,,,,,2.00,1,,3.00,,,3.00,"From the 18th January, all travel corridors to close and you must self-isolate after arriving in the UK, even if you have tested negative. Most people travelling to the UK from abroad need proof of a negative coronavirus (COVID-19) test result.  https://web.archive.org/web/20210124212610/https://www.gov.uk/coronavirus",2.00,1,,2.00,,0.00,,0.00,,2.00,1,,2.00,,1.00,,0.00,,0.00,,3.00,1,,,,,3.00,1,,3.00,1,,3.00,1,,,,,3.00,1,,,1,,1,,80+ yrs,80+ yrs,0,0,0,2,5,,,,3433494,115424,NV,0.68,87.96,87.96,87.96,87.96,83.96,83.96,83.96,83.96,81.67,81.67,81.67,81.67,100.00
United Kingdom,GBR,,,NAT_TOTAL,20210119,3.00,1,,,,,3.00,1,,3.00,1,,,,,3.00,1,,2.00,1,,,,,2.00,1,,4.00,1,,,,,4.00,1,,1.00,1,,,,,1.00,1,,2.00,1,,,,,2.00,1,,2.00,1,,,,,2.00,1,,3.00,,,3.00,,2.00,1,,2.00,,0.00,,0.00,,2.00,1,,2.00,,1.00,,0.00,,0.00,,3.00,1,,,,,3.00,1,,3.00,1,,3.00,1,,,,,3.00,1,,,1,,1,"Who can get the COVID-19 vaccine  The NHS is currently offering the COVID-19 vaccine to people most at risk from coronavirus.    It's being given to:    people aged 80 and over  some people aged 70 and over  some people who are clinically extremely vulnerable  people who live or work in care homes  health and social care workers    https://web.archive.org/web/20210119133704/http://www.nhs.uk/conditions/coronavirus-covid-19/coronavirus-vaccination/coronavirus-vaccine",70-74 yrs,70-74 yrs,1,0,0,2,5,"Who can get the COVID-19 vaccine  The NHS is currently offering the COVID-19 vaccine to people most at risk from coronavirus.    It's being given to:    people aged 80 and over  some people aged 70 and over  some people who are clinically extremely vulnerable  people who live or work in care homes  health and social care workers    https://web.archive.org/web/20210119133704/http://www.nhs.uk/conditions/coronavirus-covid-19/coronavirus-vaccination/coronavirus-vaccine",,,3466849,116914,NV,0.68,87.96,87.96,87.96,87.96,83.96,83.96,83.96,83.96,81.67,81.67,81.67,81.67,100.00
United Kingdom,GBR,,,NAT_TOTAL,20210120,3.00,1,,,,,3.00,1,,3.00,1,,,,,3.00,1,,2.00,1,,,,,2.00,1,,4.00,1,,,,,4.00,1,,1.00,1,,,,,1.00,1,,2.00,1,,,,,2.00,1,,2.00,1,,,,,2.00,1,,3.00,,,3.00,,2.00,1,,2.00,,0.00,,0.00,,2.00,1,,2.00,,1.00,,0.00,,0.00,,3.00,1,,,,,3.00,1,,3.00,1,,3.00,1,,,,,3.00,1,,,1,,1,,70-74 yrs,70-74 yrs,1,0,0,2,5,,,,3505754,118297,NV,0.69,87.96,87.96,87.96,87.96,83.96,83.96,83.96,83.96,81.67,81.67,81.67,81.67,100.00
